상품명,판매가격,판매업소,제조사
엘라스틴 맥시마이징 볼륨 컨디셔너,7900,농협유통고양점,LG생활건강
팬틴 바운시 볼륨케어 컨디셔닝 린스,6000,중곡제일시장,한국P&G
PACE 6 면도날,16900,이마트문현점,도루코
마하3 면도날,17900,롯데슈퍼수성점,질레트
하이드로5 면도날,17900,이마트충주점,쉬크
도브 데미지 볼륨 부스트 샴푸,6800,중곡제일시장,유니레버코리아
미장센 펄샤이닝모이스쳐 샴푸,13000,롯데슈퍼이천점,아모레퍼시픽
엘라스틴 맥시마이징 볼륨 샴푸,7900,농협충북유통,LG생활건강
팬틴 바운시 볼륨케어 샴푸,6000,중곡제일시장,한국P&G
NEW하기스 네이처메이드 남아용 대형(42매 4단계),25800,롯데마트신갈점,유한킴벌리
"마미포코 360핏 팬티(여아용,대형,72개입)",10000,롯데마트상당점,LG생활건강
"보솜이 디오가닉(남여아공용,특대형,36개입)",21900,롯데마트동두천점,깨끗한나라
하기스 프리미어 플러스 남아용 대형(60매 4단계),16800,롯데마트수완점,유한킴벌리
어드밴스 캐비티(블루) 120g*3입,5900,이마트서산점,애경
어드밴스 캐비티(블루)120g,2650,롯데슈퍼G마포점,애경
페리오 캐비티케어(묶음),4950,이마트포천점,LG생활건강
페리오 클링스 아이스민트 120GX3,7900,롯데슈퍼연수점,LG생활건강
메디안 닥터 칫솔(4개입),5000,롯데마트삼계점,아모레퍼시픽
오랄비 크로스액션(35모)(3개입),9900,롯데마트화정점,한국P&G
페리오 토탈 360(4개입),8900,롯데백화점대전점,LG생활건강
뉴트로지나 딥클린 포밍 클렌저(175g),13500,이마트세종점,한국존슨앤존슨
클린앤클리어 딥액션(120g),12500,한민시장,한국존슨앤존슨
해피바스 솝베리 클렌징 폼(175g),5800,여수서시장,아모레퍼시픽
Neut.핸드크림,8900,롯데슈퍼동소문점,한국존슨앤존슨
니베아 SOS 핸드 밤,3400,울산농산물종합유통센터,니베아
해피바스 내추럴24핸드크림,8200,롯데슈퍼세종고운점,아모레퍼시픽
